company_name,company_link,page
Jeddah Municpality (The Amanah),/companies/profile/jeddah-municpality-the-amanah/,23
Sidf,/companies/profile/sidf/,23
Al Jomaih Bottling Company - Pepsi Cola,/companies/profile/al-jomaih-bottling-company-pepsi-cola/,23
Bateel International,/companies/profile/bateel-international-1/,23
Alkhaleej Training & Education,/companies/profile/alkhaleej-training-education/,23
Integrated Telecom Company (Itc),/companies/profile/integrated-telecom-company-itc-1/,23
Saudi Cable Company,/companies/profile/saudi-cable-company/,23
,/,23
"Effat University, Jeddah, Kingdom Of Saudi Arabia",/companies/profile/effat-university-jeddah-kingdom-of-saudi-arabia/,24
Amiantit,/companies/profile/amiantit/,24
Shaqra University,/companies/profile/shaqra-university/,24
Al Watania Information Systems,/companies/profile/al-watania-information-systems/,24
Saed.,/companies/profile/saed/,24
Gulf Medical Co Ltd,/companies/profile/gulf-medical-co-ltd/,24
Arabic Computer Systems,/companies/profile/arabic-computer-systems/,24
Saudi Automotive Services Company (Sasco),/companies/profile/saudi-automotive-services-company-sasco/,24
Jazeera Pharmaceutical Industries,/companies/profile/jazeera-pharmaceutical-industries/,24
Prince Sultan University,/companies/profile/prince-sultan-university/,24
,/,24
Ncbs National Company For Business Solutions,/companies/profile/ncbs-national-company-for-business-solutions/,25
Al Yamamah University,/companies/profile/al-yamamah-university/,25
Thiqah Business Services,/companies/profile/thiqah-business-services/,25
Aloft Hotels,/companies/profile/aloft-hotels-1/,25
Worley Parsons Arabia Limited,/companies/profile/worley-parsons-arabia-limited/,25
Bazy Trading And Contracting Co.Ltd,/companies/profile/bazy-trading-and-contracting-coltd/,25
Team Y&R,/companies/profile/team-yr/,25
Radicon Gulf Consult,/companies/profile/radicon-gulf-consult/,25
Saudi Customs,/companies/profile/saudi-customs/,25
Jeddah,/companies/profile/jeddah/,25
,/,25
Premier Technology Ltd,/companies/profile/premier-technology-ltd/,26
Sawary Energy,/companies/profile/sawary-energy/,26
Al Watania For Plastics,/companies/profile/al-watania-for-plastics/,26
National Housing Services Co. (Nhsc),/companies/profile/national-housing-services-co-nhsc/,26
Royal Commission For Yanbu Medical Center,/companies/profile/royal-commission-for-yanbu-medical-center/,26
Ssbs,/companies/profile/ssbs/,26
Bt Applied Technology,/companies/profile/bt-applied-technology/,26
Cigalah Group,/companies/profile/cigalah-group/,26
Care & Planning For Hospitals,/companies/profile/care-planning-for-hospitals/,26
King Khaled Eye Specialist Hospital,/companies/profile/king-khaled-eye-specialist-hospital/,26
,/,26
Sanad Cooperative Insurance And Reinsurance Jsc,/companies/profile/sanad-cooperative-insurance-and-reinsurance-jsc/,27
Ymco - Youssef Marroun Contracting Company,/companies/profile/ymco-youssef-marroun-contracting-company/,27
Southwind Telecom,/companies/profile/southwind-telecom/,27
Maceen Capital,/companies/profile/maceen-capital/,27
American International School Riyadh,/companies/profile/american-international-school-riyadh-1/,27
Zamil Infra Pvt. Ltd.,/companies/profile/zamil-infra-pvt-ltd/,27
Macc Branch (Modern Architectural Contracting Company),/companies/profile/macc-branch-modern-architectural-contracting-company/,27
Saudi Tabreed District Cooling Company,/companies/profile/saudi-tabreed-district-cooling-company/,27
Saudi Enaya Cooperative Insurance,/companies/profile/saudi-enaya-cooperative-insurance/,27
Unisis Engineering,/companies/profile/unisis-engineering/,27
,/,27
Al Ra'idah Investment Company,/companies/profile/al-raidah-investment-company/,28
Kpmg Saudi Arabia,/companies/profile/kpmg-saudi-arabia/,28
Zamil Operations & Maintenance Company Limited,/companies/profile/zamil-operations-maintenance-company-limited/,28
Bin Sammar Trading And Contracting Company,/companies/profile/bin-sammar-trading-and-contracting-company/,28
Go - Etihad Atheeb Telecom,/companies/profile/go-etihad-atheeb-telecom/,28
Riyadh Municipality,/companies/profile/riyadh-municipality/,28
Baghlaf Al Zafer Company Limited,/companies/profile/baghlaf-al-zafer-company-limited/,28
Saudi Consolidated Engineering Company (Khatib & Alami),/companies/profile/saudi-consolidated-engineering-company-khatib-alami/,28
